"","location","date","new_cases"
"1","Gambia",2020-03-17,1
"2","Gambia",2020-03-18,0
"3","Gambia",2020-03-19,0
"4","Gambia",2020-03-20,0
"5","Gambia",2020-03-21,0
"6","Gambia",2020-03-22,0
"7","Gambia",2020-03-23,1
"8","Gambia",2020-03-24,1
"9","Gambia",2020-03-25,0
"10","Gambia",2020-03-26,0
"11","Gambia",2020-03-27,0
"12","Gambia",2020-03-28,0
"13","Gambia",2020-03-29,1
"14","Gambia",2020-03-30,0
"15","Gambia",2020-03-31,0
"16","Gambia",2020-04-01,0
"17","Gambia",2020-04-02,0
"18","Gambia",2020-04-03,0
"19","Gambia",2020-04-04,0
"20","Gambia",2020-04-05,0
"21","Gambia",2020-04-06,0
"22","Gambia",2020-04-07,0
"23","Gambia",2020-04-08,0
"24","Gambia",2020-04-09,0
"25","Gambia",2020-04-10,0
"26","Gambia",2020-04-11,5
"27","Gambia",2020-04-12,0
"28","Gambia",2020-04-13,0
"29","Gambia",2020-04-14,0
"30","Gambia",2020-04-15,0
"31","Gambia",2020-04-16,0
"32","Gambia",2020-04-17,0
"33","Gambia",2020-04-18,0
"34","Gambia",2020-04-19,1
"35","Gambia",2020-04-20,0
"36","Gambia",2020-04-21,0
"37","Gambia",2020-04-22,0
"38","Gambia",2020-04-23,0
"39","Gambia",2020-04-24,0
"40","Gambia",2020-04-25,0
"41","Gambia",2020-04-26,0
"42","Gambia",2020-04-27,0
"43","Gambia",2020-04-28,0
"44","Gambia",2020-04-29,0
"45","Gambia",2020-04-30,1
"46","Gambia",2020-05-01,1
"47","Gambia",2020-05-02,5
"48","Gambia",2020-05-03,0
"49","Gambia",2020-05-04,0
"50","Gambia",2020-05-05,0
"51","Gambia",2020-05-06,0
"52","Gambia",2020-05-07,1
"53","Gambia",2020-05-08,2
"54","Gambia",2020-05-09,0
"55","Gambia",2020-05-10,0
"56","Gambia",2020-05-11,2
"57","Gambia",2020-05-12,0
"58","Gambia",2020-05-13,1
"59","Gambia",2020-05-14,0
"60","Gambia",2020-05-15,0
"61","Gambia",2020-05-16,0
"62","Gambia",2020-05-17,0
"63","Gambia",2020-05-18,1
"64","Gambia",2020-05-19,0
"65","Gambia",2020-05-20,0
"66","Gambia",2020-05-21,0
"67","Gambia",2020-05-22,1
"68","Gambia",2020-05-23,0
"69","Gambia",2020-05-24,0
"70","Gambia",2020-05-25,0
"71","Gambia",2020-05-26,0
"72","Gambia",2020-05-27,0
"73","Gambia",2020-05-28,0
"74","Gambia",2020-05-29,0
"75","Gambia",2020-05-30,0
"76","Gambia",2020-05-31,0
"77","Gambia",2020-06-01,0
"78","Gambia",2020-06-02,0
"79","Gambia",2020-06-03,1
"80","Gambia",2020-06-04,0
"81","Gambia",2020-06-05,0
"82","Gambia",2020-06-06,0
"83","Gambia",2020-06-07,0
"84","Gambia",2020-06-08,2
"85","Gambia",2020-06-09,0
"86","Gambia",2020-06-10,0
"87","Gambia",2020-06-11,0
"88","Gambia",2020-06-12,0
"89","Gambia",2020-06-13,0
"90","Gambia",2020-06-14,0
"91","Gambia",2020-06-15,2
"92","Gambia",2020-06-16,4
"93","Gambia",2020-06-17,0
"94","Gambia",2020-06-18,2
"95","Gambia",2020-06-19,0
"96","Gambia",2020-06-20,1
"97","Gambia",2020-06-21,0
"98","Gambia",2020-06-22,4
"99","Gambia",2020-06-23,1
"100","Gambia",2020-06-24,0
"101","Gambia",2020-06-25,1
"102","Gambia",2020-06-26,0
"103","Gambia",2020-06-27,1
"104","Gambia",2020-06-28,1
"105","Gambia",2020-06-29,2
"106","Gambia",2020-06-30,2
"107","Gambia",2020-07-01,0
"108","Gambia",2020-07-02,6
"109","Gambia",2020-07-03,0
"110","Gambia",2020-07-04,2
"111","Gambia",2020-07-05,0
"112","Gambia",2020-07-06,4
"113","Gambia",2020-07-07,0
"114","Gambia",2020-07-08,0
"115","Gambia",2020-07-09,2
"116","Gambia",2020-07-10,1
"117","Gambia",2020-07-11,0
"118","Gambia",2020-07-12,0
"119","Gambia",2020-07-13,0
"120","Gambia",2020-07-14,0
"121","Gambia",2020-07-15,0
"122","Gambia",2020-07-16,14
"123","Gambia",2020-07-17,0
"124","Gambia",2020-07-18,15
"125","Gambia",2020-07-19,0
"126","Gambia",2020-07-20,19
"127","Gambia",2020-07-21,0
"128","Gambia",2020-07-22,34
"129","Gambia",2020-07-23,24
"130","Gambia",2020-07-24,46
"131","Gambia",2020-07-25,61
"132","Gambia",2020-07-26,0
"133","Gambia",2020-07-27,49
"134","Gambia",2020-07-28,0
"135","Gambia",2020-07-29,0
"136","Gambia",2020-07-30,77
"137","Gambia",2020-07-31,95
"138","Gambia",2020-08-01,0
"139","Gambia",2020-08-02,0
"140","Gambia",2020-08-03,0
"141","Gambia",2020-08-04,173
"142","Gambia",2020-08-05,128
"143","Gambia",2020-08-06,136
"144","Gambia",2020-08-07,155
"145","Gambia",2020-08-08,0
"146","Gambia",2020-08-09,145
"147","Gambia",2020-08-10,0
"148","Gambia",2020-08-11,111
"149","Gambia",2020-08-12,131
"150","Gambia",2020-08-13,79
"151","Gambia",2020-08-14,67
"152","Gambia",2020-08-15,66
"153","Gambia",2020-08-16,183
"154","Gambia",2020-08-17,0
"155","Gambia",2020-08-18,244
"156","Gambia",2020-08-19,172
"157","Gambia",2020-08-20,113
"158","Gambia",2020-08-21,36
"159","Gambia",2020-08-22,0
"160","Gambia",2020-08-23,248
"161","Gambia",2020-08-24,NA
"162","Gambia",2020-08-25,101
"163","Gambia",2020-08-26,22
"164","Gambia",2020-08-27,35
"165","Gambia",2020-08-28,54
"166","Gambia",2020-08-29,98
"167","Gambia",2020-08-30,68
