"","Variable","num_participants","prop_participants","num_infections","incidence_rate_ci","HR","type"
"1","18-49",123,0.363905325443787,137,"1.36 (1.15-1.61)","NA(NA-NA)","Age"
"2","<5",39,0.115384615384615,34,"1.07 (0.77-1.5)","0.8(0.6-1.07)","Age"
"3","5-17",151,0.446745562130178,173,"1.37 (1.18-1.59)","1.01(0.86-1.17)","Age"
"4",">50",25,0.0739644970414201,30,"1.43 (1-2.04)","1.07(0.83-1.39)","Age"
"5","0",144,0.42603550295858,118,"1.98 (1.65-2.37)","NA(NA-NA)","PI"
"6","1",310,0.917159763313609,205,"1.36 (1.18-1.56)","0.69(0.58-0.83)","PI"
"7","2",204,0.603550295857988,51,"0.74 (0.56-0.97)","0.38(0.29-0.51)","PI"
"8","[5,7)",124,0.366863905325444,144,"1.39 (1.18-1.64)","NA(NA-NA)","HH"
"9","[7,10)",125,0.369822485207101,136,"1.28 (1.08-1.52)","0.92(0.79-1.09)","HH"
"10","[10,Inf)",89,0.263313609467456,94,"1.35 (1.1-1.65)","0.98(0.82-1.17)","HH"
"11","0",337,0.997041420118343,373,"1.34 (1.21-1.48)","NA(NA-NA)","Cancer"
"12","1",1,0.0029585798816568,1,"1.06 (0.15-7.52)","0.82(0.76-0.89)","Cancer"
"13","0",330,0.976331360946746,366,"1.35 (1.21-1.49)","NA(NA-NA)","Diabetes"
"14","1",8,0.0236686390532544,8,"1.07 (0.53-2.14)","0.84(0.58-1.22)","Diabetes"
"15","0",292,0.863905325443787,317,"1.31 (1.17-1.46)","NA(NA-NA)","Employed"
"16","1",46,0.136094674556213,57,"1.51 (1.17-1.96)","1.16(0.94-1.42)","Employed"
"17","0",335,0.99112426035503,372,"1.34 (1.21-1.48)","NA(NA-NA)","HIV"
"18","1",3,0.00887573964497041,2,"0.94 (0.23-3.74)","0.78(0.56-1.08)","HIV"
"19","0",322,0.952662721893491,353,"1.32 (1.19-1.47)","NA(NA-NA)","HTN"
"20","1",16,0.0473372781065089,21,"1.65 (1.08-2.54)","1.26(0.97-1.63)","HTN"
"21","0",328,0.970414201183432,367,"1.35 (1.22-1.5)","NA(NA-NA)","Smoking"
"22","1",10,0.029585798816568,7,"0.91 (0.43-1.9)","0.66(0.35-1.27)","Smoking"
"23","0",338,1,339,"1.32 (1.19-1.47)","NA(NA-NA)","vaccinated"
"24","1",50,0.14792899408284,35,"1.5 (1.08-2.09)","1.17(0.87-1.57)","vaccinated"
